superscaffold	index	scaffold	scaffold.length	start	end
Super_Scaffold0	78	NW_VBSM01000079.1	1861	1077944	1079805
Super_Scaffold0	79	NW_VBSM01000080.1	9504	1080805	1090309
Super_Scaffold0	80	NW_VBSM01000081.1	3179	1091309	1094488
Super_Scaffold0	81	NW_VBSM01000082.1	3093	1095488	1098581
Super_Scaffold0	82	NW_VBSM01000083.1	1467	1099581	1101048
Super_Scaffold0	83	NW_VBSM01000084.1	2472	1102048	1104520
Super_Scaffold0	84	NW_VBSM01000085.1	1622	1105520	1107142
Super_Scaffold0	85	NW_VBSM01000086.1	314602	1108142	1422744
Super_Scaffold0	86	NW_VBSM01000087.1	2398	1423744	1426142
Super_Scaffold0	87	NW_VBSM01000088.1	2606	1427142	1429748
Super_Scaffold0	88	NW_VBSM01000089.1	2506	1430748	1433254
Super_Scaffold0	89	NW_VBSM01000090.1	3351	1434254	1437605
Super_Scaffold0	90	NW_VBSM01000091.1	3494	1438605	1442099
Super_Scaffold0	91	NW_VBSM01000092.1	1430	1443099	1444529
Super_Scaffold0	92	NW_VBSM01000093.1	2772	1445529	1448301
Super_Scaffold0	93	NW_VBSM01000094.1	2146	1449301	1451447
Super_Scaffold0	94	NW_VBSM01000095.1	2226	1452447	1454673
Super_Scaffold0	95	NW_VBSM01000096.1	1650	1455673	1457323
Super_Scaffold0	96	NW_VBSM01000097.1	3870	1458323	1462193
Super_Scaffold0	97	NW_VBSM01000098.1	1858	1463193	1465051
Super_Scaffold0	98	NW_VBSM01000099.1	1995	1466051	1468046
Super_Scaffold0	99	NW_VBSM01000100.1	2899	1469046	1471945
Super_Scaffold0	100	NW_VBSM01000101.1	1374	1472945	1474319
Super_Scaffold0	101	NW_VBSM01000102.1	1450	1475319	1476769
Super_Scaffold0	102	NW_VBSM01000103.1	2155	1477769	1479924
Super_Scaffold0	103	NW_VBSM01000105.1	2629	1480924	1483553
Super_Scaffold0	104	NW_VBSM01000106.1	1874	1484553	1486427
Super_Scaffold0	105	NW_VBSM01000107.1	1966	1487427	1489393
Super_Scaffold0	106	NW_VBSM01000108.1	2698	1490393	1493091
Super_Scaffold0	107	NW_VBSM01000109.1	1209	1494091	1495300
Super_Scaffold0	108	NW_VBSM01000110.1	1783	1496300	1498083
Super_Scaffold0	109	NW_VBSM01000111.1	4284	1499083	1503367
Super_Scaffold0	110	NW_VBSM01000112.1	845697	1504367	2350064
Super_Scaffold0	111	NW_VBSM01000113.1	1668	2351064	2352732
Super_Scaffold0	112	NW_VBSM01000114.1	1339	2353732	2355071
Super_Scaffold0	113	NW_VBSM01000115.1	1308	2356071	2357379
Super_Scaffold0	114	NW_VBSM01000116.1	2055	2358379	2360434
Super_Scaffold0	115	NW_VBSM01000117.1	1935	2361434	2363369
Super_Scaffold0	116	NW_VBSM01000118.1	1601	2364369	2365970
Super_Scaffold0	117	NW_VBSM01000119.1	4522	2366970	2371492
Super_Scaffold0	118	NW_VBSM01000120.1	1161	2372492	2373653
Super_Scaffold0	119	NW_VBSM01000121.1	1378	2374653	2376031
Super_Scaffold0	120	NW_VBSM01000122.1	3154	2377031	2380185
Super_Scaffold0	121	NW_VBSM01000123.1	1737	2381185	2382922
Super_Scaffold0	122	NW_VBSM01000124.1	4469	2383922	2388391
Super_Scaffold0	123	NW_VBSM01000125.1	4468	2389391	2393859
Super_Scaffold0	124	NW_VBSM01000126.1	3661	2394859	2398520
Super_Scaffold0	125	NW_VBSM01000127.1	1058	2399520	2400578
Super_Scaffold0	126	NW_VBSM01000128.1	1411	2401578	2402989
Super_Scaffold0	127	NW_VBSM01000129.1	1327	2403989	2405316
Super_Scaffold0	128	NW_VBSM01000130.1	1529	2406316	2407845
Super_Scaffold0	129	NW_VBSM01000131.1	1473	2408845	2410318
Super_Scaffold0	130	NW_VBSM01000132.1	1323	2411318	2412641
Super_Scaffold0	131	NW_VBSM01000133.1	8717	2413641	2422358
Super_Scaffold0	132	NW_VBSM01000134.1	2404	2423358	2425762
Super_Scaffold0	133	NW_VBSM01000135.1	1897	2426762	2428659
Super_Scaffold0	134	NW_VBSM01000136.1	3213	2429659	2432872
Super_Scaffold0	135	NW_VBSM01000137.1	1197	2433872	2435069
Super_Scaffold0	136	NW_VBSM01000138.1	2171	2436069	2438240
Super_Scaffold0	137	NW_VBSM01000139.1	1703	2439240	2440943
Super_Scaffold0	138	NW_VBSM01000140.1	1376	2441943	2443319
Super_Scaffold0	139	NW_VBSM01000141.1	1159	2444319	2445478
Super_Scaffold0	140	NW_VBSM01000143.1	1344	2446478	2447822
Super_Scaffold0	141	NW_VBSM01000144.1	1497	2448822	2450319
Super_Scaffold0	142	NW_VBSM01000145.1	1633	2451319	2452952
Super_Scaffold0	143	NW_VBSM01000146.1	2431	2453952	2456383
Super_Scaffold0	144	NW_VBSM01000147.1	6478	2457383	2463861
Super_Scaffold0	145	NW_VBSM01000148.1	2189	2464861	2467050
Super_Scaffold0	146	NW_VBSM01000149.1	2273	2468050	2470323
Super_Scaffold0	147	NW_VBSM01000150.1	1559	2471323	2472882
Super_Scaffold0	148	NW_VBSM01000151.1	2247	2473882	2476129
Super_Scaffold0	149	NW_VBSM01000152.1	3960	2477129	2481089
Super_Scaffold0	150	NW_VBSM01000153.1	1094	2482089	2483183
Super_Scaffold0	151	NW_VBSM01000154.1	1766	2484183	2485949
Super_Scaffold0	152	NW_VBSM01000155.1	316698	2486949	2803647
Super_Scaffold0	153	NW_VBSM01000156.1	4099	2804647	2808746
Super_Scaffold0	154	NW_VBSM01000157.1	2634	2809746	2812380
Super_Scaffold0	155	NW_VBSM01000158.1	1711	2813380	2815091
Super_Scaffold0	156	NW_VBSM01000159.1	1263	2816091	2817354
Super_Scaffold0	157	NW_VBSM01000160.1	1513	2818354	2819867
Super_Scaffold0	158	NW_VBSM01000161.1	1498	2820867	2822365
Super_Scaffold0	159	NW_VBSM01000162.1	1870	2823365	2825235
Super_Scaffold0	160	NW_VBSM01000163.1	2436	2826235	2828671
Super_Scaffold0	161	NW_VBSM01000164.1	1694	2829671	2831365
Super_Scaffold0	162	NW_VBSM01000165.1	1109	2832365	2833474
Super_Scaffold0	163	NW_VBSM01000166.1	1060	2834474	2835534
Super_Scaffold0	164	NW_VBSM01000167.1	1369	2836534	2837903
Super_Scaffold0	165	NW_VBSM01000168.1	2997	2838903	2841900
Super_Scaffold0	166	NW_VBSM01000169.1	6789	2842900	2849689
Super_Scaffold0	167	NW_VBSM01000170.1	1916	2850689	2852605
Super_Scaffold0	168	NW_VBSM01000171.1	1409	2853605	2855014
Super_Scaffold0	169	NW_VBSM01000172.1	1544	2856014	2857558
Super_Scaffold0	170	NW_VBSM01000173.1	2222	2858558	2860780
Super_Scaffold0	171	NW_VBSM01000174.1	6888	2861780	2868668
Super_Scaffold0	172	NW_VBSM01000175.1	2102	2869668	2871770
Super_Scaffold0	173	NW_VBSM01000176.1	1780	2872770	2874550
Super_Scaffold0	174	NW_VBSM01000177.1	1243	2875550	2876793
Super_Scaffold0	175	NW_VBSM01000178.1	1664	2877793	2879457
Super_Scaffold0	176	NW_VBSM01000179.1	3173	2880457	2883630
Super_Scaffold0	177	NW_VBSM01000180.1	3165	2884630	2887795
Super_Scaffold0	178	NW_VBSM01000181.1	3375	2888795	2892170
Super_Scaffold0	179	NW_VBSM01000182.1	4862	2893170	2898032
Super_Scaffold0	180	NW_VBSM01000183.1	1370	2899032	2900402
Super_Scaffold0	181	NW_VBSM01000184.1	736782	2901402	3638184
Super_Scaffold0	182	NW_VBSM01000185.1	1813	3639184	3640997
Super_Scaffold0	183	NW_VBSM01000186.1	5603	3641997	3647600
Super_Scaffold0	184	NW_VBSM01000187.1	1006	3648600	3649606
Super_Scaffold0	185	NW_VBSM01000188.1	1307	3650606	3651913
Super_Scaffold0	186	NW_VBSM01000189.1	5327	3652913	3658240
Super_Scaffold0	187	NW_VBSM01000190.1	2713	3659240	3661953
Super_Scaffold0	188	NW_VBSM01000191.1	1243	3662953	3664196
Super_Scaffold0	189	NW_VBSM01000192.1	3174	3665196	3668370
Super_Scaffold0	190	NW_VBSM01000193.1	2747	3669370	3672117
Super_Scaffold0	191	NW_VBSM01000194.1	1082	3673117	3674199
Super_Scaffold0	192	NW_VBSM01000195.1	1117	3675199	3676316
Super_Scaffold0	193	NW_VBSM01000196.1	1358	3677316	3678674
Super_Scaffold0	194	NW_VBSM01000197.1	1777	3679674	3681451
Super_Scaffold0	195	NW_VBSM01000198.1	1105	3682451	3683556
Super_Scaffold0	196	NW_VBSM01000199.1	1717	3684556	3686273
Super_Scaffold0	197	NW_VBSM01000200.1	1830	3687273	3689103
Super_Scaffold0	198	NW_VBSM01000201.1	1625	3690103	3691728
Super_Scaffold0	199	NW_VBSM01000202.1	1760	3692728	3694488
Super_Scaffold0	200	NW_VBSM01000203.1	1081	3695488	3696569
Super_Scaffold0	201	NW_VBSM01000204.1	1433	3697569	3699002
Super_Scaffold0	202	NW_VBSM01000205.1	1005	3700002	3701007
Super_Scaffold0	203	NW_VBSM01000206.1	2457	3702007	3704464
Super_Scaffold0	204	NW_VBSM01000207.1	5465	3705464	3710929
Super_Scaffold0	205	NW_VBSM01000208.1	1143	3711929	3713072
Super_Scaffold0	206	NW_VBSM01000209.1	4905	3714072	3718977
Super_Scaffold0	207	NW_VBSM01000210.1	1310	3719977	3721287
Super_Scaffold0	208	NW_VBSM01000211.1	1857	3722287	3724144
Super_Scaffold0	209	NW_VBSM01000212.1	2115	3725144	3727259
Super_Scaffold0	210	NW_VBSM01000213.1	2014	3728259	3730273
Super_Scaffold0	211	NW_VBSM01000214.1	1064	3731273	3732337
Super_Scaffold0	212	NW_VBSM01000215.1	1022	3733337	3734359
Super_Scaffold0	213	NW_VBSM01000216.1	8245	3735359	3743604
Super_Scaffold0	214	NW_VBSM01000217.1	1789	3744604	3746393
Super_Scaffold0	215	NW_VBSM01000218.1	2944	3747393	3750337
Super_Scaffold0	216	NW_VBSM01000219.1	1009	3751337	3752346
Super_Scaffold0	217	NW_VBSM01000220.1	1078	3753346	3754424
Super_Scaffold0	218	NW_VBSM01000221.1	3153	3755424	3758577
Super_Scaffold0	219	NW_VBSM01000222.1	1994	3759577	3761571
Super_Scaffold0	220	NW_VBSM01000223.1	2289	3762571	3764860
Super_Scaffold0	221	NW_VBSM01000224.1	8905	3765860	3774765
Super_Scaffold0	222	NW_VBSM01000225.1	1481	3775765	3777246
Super_Scaffold0	223	NW_VBSM01000226.1	1140	3778246	3779386
Super_Scaffold0	224	NW_VBSM01000227.1	1342	3780386	3781728
Super_Scaffold0	225	NW_VBSM01000228.1	4881	3782728	3787609
Super_Scaffold0	226	NW_VBSM01000229.1	1629	3788609	3790238
Super_Scaffold0	227	NW_VBSM01000230.1	1394	3791238	3792632
Super_Scaffold0	228	NW_VBSM01000231.1	1142	3793632	3794774
Super_Scaffold0	229	NW_VBSM01000232.1	1181	3795774	3796955
Super_Scaffold0	230	NW_VBSM01000233.1	1309	3797955	3799264
Super_Scaffold0	231	NW_VBSM01000234.1	3840	3800264	3804104
Super_Scaffold0	232	NW_VBSM01000235.1	2730	3805104	3807834
Super_Scaffold0	233	NW_VBSM01000236.1	1067	3808834	3809901
Super_Scaffold0	234	NW_VBSM01000237.1	1144	3810901	3812045
Super_Scaffold0	235	NW_VBSM01000238.1	1015	3813045	3814060
Super_Scaffold0	236	NW_VBSM01000239.1	2799	3815060	3817859
Super_Scaffold0	237	NW_VBSM01000240.1	2660	3818859	3821519
Super_Scaffold0	238	NW_VBSM01000241.1	2596	3822519	3825115
Super_Scaffold0	239	NW_VBSM01000242.1	1650	3826115	3827765
Super_Scaffold0	240	NW_VBSM01000243.1	1052	3828765	3829817
Super_Scaffold0	241	NW_VBSM01000244.1	1315	3830817	3832132
Super_Scaffold0	242	NW_VBSM01000245.1	1082	3833132	3834214
Super_Scaffold0	243	NW_VBSM01000246.1	1063	3835214	3836277
Super_Scaffold0	244	NW_VBSM01000247.1	2808	3837277	3840085
Super_Scaffold0	245	NW_VBSM01000248.1	4002	3841085	3845087
Super_Scaffold0	246	NW_VBSM01000249.1	1068	3846087	3847155
Super_Scaffold0	247	NW_VBSM01000250.1	76551	3848155	3924706
Super_Scaffold0	248	NW_VBSM01000251.1	1238	3925706	3926944
Super_Scaffold0	249	NW_VBSM01000252.1	1207	3927944	3929151
Super_Scaffold0	250	NW_VBSM01000253.1	1729	3930151	3931880
Super_Scaffold0	251	NW_VBSM01000254.1	1730	3932880	3934610
Super_Scaffold0	252	NW_VBSM01000255.1	238223	3935610	4173833
Super_Scaffold0	253	NW_VBSM01000256.1	662528	4174833	4837361
Super_Scaffold0	254	NW_VBSM01000257.1	1720	4838361	4840081
Super_Scaffold0	255	NW_VBSM01000258.1	3604	4841081	4844685
Super_Scaffold0	256	NW_VBSM01000259.1	2367435	4845685	7213120
Super_Scaffold0	257	NW_VBSM01000260.1	1629	7214120	7215749
Super_Scaffold0	258	NW_VBSM01000261.1	2829	7216749	7219578
Super_Scaffold0	259	NW_VBSM01000262.1	1779	7220578	7222357
Super_Scaffold0	260	NW_VBSM01000263.1	1013	7223357	7224370
Super_Scaffold0	261	NW_VBSM01000264.1	1603	7225370	7226973
Super_Scaffold0	262	NW_VBSM01000265.1	1194	7227973	7229167
Super_Scaffold0	263	NW_VBSM01000266.1	2690	7230167	7232857
Super_Scaffold0	264	NW_VBSM01000267.1	1056	7233857	7234913
Super_Scaffold0	265	NW_VBSM01000268.1	1019	7235913	7236932
Super_Scaffold0	266	NW_VBSM01000269.1	1042	7237932	7238974
Super_Scaffold0	267	NW_VBSM01000270.1	1976	7239974	7241950
Super_Scaffold0	268	NW_VBSM01000271.1	1396	7242950	7244346
Super_Scaffold0	269	NW_VBSM01000273.1	3736	7245346	7249082
Super_Scaffold0	270	NW_VBSM01000274.1	1320	7250082	7251402
Super_Scaffold0	271	NW_VBSM01000275.1	2450	7252402	7254852
Super_Scaffold0	272	NW_VBSM01000276.1	3817	7255852	7259669
Super_Scaffold0	273	NW_VBSM01000277.1	2352	7260669	7263021
Super_Scaffold0	274	NW_VBSM01000278.1	2522	7264021	7266543
Super_Scaffold0	275	NW_VBSM01000279.1	1100	7267543	7268643
Super_Scaffold0	276	NW_VBSM01000280.1	577577	7269643	7847220
Super_Scaffold0	277	NW_VBSM01000281.1	1968	7848220	7850188
Super_Scaffold0	278	NW_VBSM01000282.1	1010071	7851188	8861259
Super_Scaffold0	279	NW_VBSM01000283.1	1009	8862259	8863268
Super_Scaffold0	280	NW_VBSM01000284.1	2084	8864268	8866352
Super_Scaffold0	281	NW_VBSM01000285.1	1901	8867352	8869253
Super_Scaffold0	282	NW_VBSM01000286.1	1186	8870253	8871439
Super_Scaffold0	283	NW_VBSM01000287.1	3568	8872439	8876007
Super_Scaffold0	284	NW_VBSM01000288.1	1260	8877007	8878267
Super_Scaffold0	285	NW_VBSM01000289.1	1193	8879267	8880460
Super_Scaffold0	286	NW_VBSM01000290.1	2394	8881460	8883854
Super_Scaffold0	287	NW_VBSM01000291.1	1220	8884854	8886074
Super_Scaffold0	288	NW_VBSM01000292.1	1607	8887074	8888681
Super_Scaffold0	289	NW_VBSM01000293.1	1916	8889681	8891597
Super_Scaffold0	290	NW_VBSM01000294.1	3616	8892597	8896213
Super_Scaffold0	291	NW_VBSM01000295.1	1415	8897213	8898628
Super_Scaffold0	292	NW_VBSM01000296.1	2106	8899628	8901734
Super_Scaffold0	293	NW_VBSM01000297.1	1995	8902734	8904729
Super_Scaffold0	294	NW_VBSM01000298.1	1205	8905729	8906934
Super_Scaffold0	295	NW_VBSM01000299.1	4017	8907934	8911951
Super_Scaffold0	296	NW_VBSM01000300.1	2077	8912951	8915028
Super_Scaffold0	297	NW_VBSM01000301.1	1865	8916028	8917893
Super_Scaffold0	298	NW_VBSM01000302.1	3311	8918893	8922204
Super_Scaffold0	299	NW_VBSM01000303.1	1730	8923204	8924934
Super_Scaffold0	300	NW_VBSM01000304.1	3303	8925934	8929237
Super_Scaffold0	301	NW_VBSM01000305.1	1917	8930237	8932154
Super_Scaffold0	302	NW_VBSM01000306.1	893092	8933154	9826246
Super_Scaffold0	303	NW_VBSM01000307.1	1374	9827246	9828620
Super_Scaffold0	304	NW_VBSM01000308.1	2189	9829620	9831809
Super_Scaffold0	305	NW_VBSM01000309.1	3232	9832809	9836041
Super_Scaffold0	306	NW_VBSM01000310.1	9665	9837041	9846706
Super_Scaffold0	307	NW_VBSM01000311.1	1780	9847706	9849486
Super_Scaffold0	308	NW_VBSM01000312.1	1165	9850486	9851651
Super_Scaffold0	309	NW_VBSM01000313.1	1983	9852651	9854634
Super_Scaffold0	310	NW_VBSM01000314.1	1432	9855634	9857066
Super_Scaffold0	311	NW_VBSM01000315.1	3569	9858066	9861635
Super_Scaffold0	312	NW_VBSM01000317.1	2333	9862635	9864968
Super_Scaffold0	313	NW_VBSM01000318.1	6041	9865968	9872009
Super_Scaffold0	314	NW_VBSM01000319.1	3333	9873009	9876342
Super_Scaffold0	315	NW_VBSM01000320.1	2596	9877342	9879938
Super_Scaffold0	316	NW_VBSM01000321.1	1050	9880938	9881988
Super_Scaffold0	317	NW_VBSM01000322.1	2283	9882988	9885271
Super_Scaffold0	318	NW_VBSM01000323.1	1499	9886271	9887770
Super_Scaffold0	319	NW_VBSM01000324.1	1559	9888770	9890329
Super_Scaffold0	320	NW_VBSM01000325.1	3070	9891329	9894399
Super_Scaffold0	321	NW_VBSM01000326.1	2293	9895399	9897692
Super_Scaffold0	322	NW_VBSM01000327.1	125975	9898692	10024667
Super_Scaffold0	323	NW_VBSM01000328.1	1867	10025667	10027534
Super_Scaffold0	324	NW_VBSM01000329.1	4023	10028534	10032557
Super_Scaffold0	325	NW_VBSM01000330.1	1059	10033557	10034616
Super_Scaffold0	326	NW_VBSM01000331.1	1923	10035616	10037539
Super_Scaffold0	327	NW_VBSM01000332.1	1398	10038539	10039937
Super_Scaffold0	328	NW_VBSM01000333.1	1299	10040937	10042236
Super_Scaffold0	329	NW_VBSM01000334.1	5172	10043236	10048408
Super_Scaffold0	330	NW_VBSM01000336.1	2069	10049408	10051477
Super_Scaffold0	331	NW_VBSM01000337.1	1477	10052477	10053954
Super_Scaffold0	332	NW_VBSM01000338.1	1396	10054954	10056350
Super_Scaffold0	333	NW_VBSM01000339.1	1514	10057350	10058864
Super_Scaffold0	334	NW_VBSM01000340.1	3198	10059864	10063062
Super_Scaffold0	335	NW_VBSM01000341.1	3386	10064062	10067448
Super_Scaffold0	336	NW_VBSM01000342.1	8725	10068448	10077173
Super_Scaffold0	337	NW_VBSM01000343.1	5064	10078173	10083237
Super_Scaffold0	338	NW_VBSM01000344.1	1323	10084237	10085560
Super_Scaffold0	339	NW_VBSM01000345.1	1326	10086560	10087886
Super_Scaffold0	340	NW_VBSM01000346.1	2765	10088886	10091651
Super_Scaffold0	341	NW_VBSM01000347.1	2096	10092651	10094747
Super_Scaffold0	342	NW_VBSM01000348.1	1010	10095747	10096757
Super_Scaffold0	343	NW_VBSM01000349.1	3234	10097757	10100991
Super_Scaffold0	344	NW_VBSM01000350.1	1881	10101991	10103872
Super_Scaffold0	345	NW_VBSM01000351.1	2642	10104872	10107514
Super_Scaffold0	346	NW_VBSM01000352.1	1582	10108514	10110096
Super_Scaffold0	347	NW_VBSM01000353.1	2373	10111096	10113469
Super_Scaffold0	348	NW_VBSM01000354.1	1151	10114469	10115620
Super_Scaffold0	349	NW_VBSM01000355.1	1206	10116620	10117826
Super_Scaffold0	350	NW_VBSM01000356.1	1152	10118826	10119978
Super_Scaffold0	351	NW_VBSM01000357.1	1888	10120978	10122866
Super_Scaffold0	352	NW_VBSM01000358.1	1068	10123866	10124934
Super_Scaffold0	353	NW_VBSM01000359.1	485096	10125934	10611030
Super_Scaffold0	354	NW_VBSM01000360.1	4037	10612030	10616067
Super_Scaffold0	355	NW_VBSM01000362.1	1642	10617067	10618709
Super_Scaffold0	356	NW_VBSM01000363.1	1306	10619709	10621015
Super_Scaffold0	357	NW_VBSM01000364.1	1244	10622015	10623259
Super_Scaffold0	358	NW_VBSM01000365.1	325574	10624259	10949833
Super_Scaffold0	359	NW_VBSM01000366.1	7514	10950833	10958347
Super_Scaffold0	360	NW_VBSM01000367.1	2078	10959347	10961425
Super_Scaffold0	361	NW_VBSM01000368.1	1231	10962425	10963656
Super_Scaffold0	362	NW_VBSM01000369.1	1424	10964656	10966080
Super_Scaffold0	363	NW_VBSM01000370.1	1881	10967080	10968961
Super_Scaffold0	364	NW_VBSM01000371.1	1355	10969961	10971316
Super_Scaffold0	365	NW_VBSM01000372.1	1945	10972316	10974261
Super_Scaffold0	366	NW_VBSM01000373.1	2555486	10975261	13530747
Super_Scaffold0	367	NW_VBSM01000374.1	1424	13531747	13533171
Super_Scaffold0	368	NW_VBSM01000375.1	2919	13534171	13537090
Super_Scaffold0	369	NW_VBSM01000376.1	3594	13538090	13541684
Super_Scaffold0	370	NW_VBSM01000377.1	1954	13542684	13544638
Super_Scaffold0	371	NW_VBSM01000378.1	5650	13545638	13551288
Super_Scaffold0	372	NW_VBSM01000379.1	1450	13552288	13553738
Super_Scaffold0	373	NW_VBSM01000380.1	1259	13554738	13555997
Super_Scaffold0	374	NW_VBSM01000381.1	1356	13556997	13558353
Super_Scaffold0	375	NW_VBSM01000382.1	1346	13559353	13560699
Super_Scaffold0	376	NW_VBSM01000383.1	1794	13561699	13563493
Super_Scaffold0	377	NW_VBSM01000384.1	1546	13564493	13566039
Super_Scaffold0	378	NW_VBSM01000385.1	1087	13567039	13568126
Super_Scaffold0	379	NW_VBSM01000386.1	7998	13569126	13577124
Super_Scaffold0	380	NW_VBSM01000387.1	1695	13578124	13579819
Super_Scaffold0	381	NW_VBSM01000388.1	1170	13580819	13581989
Super_Scaffold0	382	NW_VBSM01000389.1	1690	13582989	13584679
Super_Scaffold0	383	NW_VBSM01000390.1	1563	13585679	13587242
Super_Scaffold0	384	NW_VBSM01000391.1	6610	13588242	13594852
Super_Scaffold0	385	NW_VBSM01000392.1	8026	13595852	13603878
Super_Scaffold0	386	NW_VBSM01000393.1	1303	13604878	13606181
Super_Scaffold0	387	NW_VBSM01000394.1	1657	13607181	13608838
Super_Scaffold0	388	NW_VBSM01000395.1	1287	13609838	13611125
Super_Scaffold0	389	NW_VBSM01000396.1	9369	13612125	13621494
